cell_id,cell_type,lineage,level_1,level_2,level_3,level_4,level_5
CL:0000071,blood vessel endothelial cell,"['squamous epithelial cell', 'epithelial cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",epithelial cell,epithelial cell,,,
CL:1000414,endothelial cell of venule,"['endothelial cell of vascular tree', 'endothelial cell', 'lining cell', 'barrier cell', 'native cell', 'cell']",endothelial cell of vascular tree,endothelial cell,,,
CL:0000131,gut endothelial cell,"['endothelial cell', 'lining cell', 'barrier cell', 'native cell', 'cell']",endothelial cell,,,,
CL:0009095,endothelial cell of uterus,"['endothelial cell', 'lining cell', 'barrier cell', 'native cell', 'cell']",endothelial cell,,,,
CL:2000059,prostate gland microvascular endothelial cell,"['microvascular endothelial cell', 'blood vessel endothelial cell', 'squamous epithelial cell', 'epithelial cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",blood vessel endothelial cell,blood vessel endothelial cell,epithelial cell,epithelial cell,
CL:0010008,cardiac endothelial cell,"['endothelial cell', 'lining cell', 'barrier cell', 'native cell', 'cell']",endothelial cell,,,,
CL:1001568,pulmonary artery endothelial cell,"['endothelial cell of artery', 'blood vessel endothelial cell', 'squamous epithelial cell', 'epithelial cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",blood vessel endothelial cell,blood vessel endothelial cell,epithelial cell,epithelial cell,
CL:1001602,cerebral cortex endothelial cell,"['endothelial cell', 'lining cell', 'barrier cell', 'native cell', 'cell']",endothelial cell,,,,
CL:0009092,endothelial cell of placenta,"['endothelial cell', 'lining cell', 'barrier cell', 'native cell', 'cell']",endothelial cell,,,,
CL:2000016,lung microvascular endothelial cell,"['lung endothelial cell', 'epithelial cell of lung', 'epithelial cell', 'animal cell', 'eukaryotic cell', 'native cell', 'cell']",epithelial cell,epithelial cell,epithelial cell,,
CL:2000041,dermis microvascular lymphatic vessel endothelial cell,"['dermis lymphatic vessel endothelial cell', 'endothelial cell of lymphatic vessel', 'endothelial cell of vascular tree', 'endothelial cell', 'lining cell', 'barrier cell', 'native cell', 'cell']",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,endothelial cell of vascular tree,endothelial cell,
